Term,Definition,Category
Logic gate ,An electronics component that carries out a logical operation on one or more inputs to produce a single output.,Other
Logic puzzle ,A puzzle that can be solved by logical thinking.,Other
Logical operators ,"Operators (such as AND, OR, and NOT) that are used to form logical expressions. Also called Boolean operators.",Other
Loop ,A sequence of instructions that is repeated. This can be a fixed number of repetitions (count-controlled loop) or the number of repetitions can be controlled by a condition (condition-controlled loop).,Other
Lossless compression ,A method of compression where no data is permanently lost during the process.,Other
Lossy compression ,A method where data is permanently lost during the compression process and must be approximated when the file is decompressed.,Other
Low-level languages ,Programming languages that require the programmer to specify the steps to solve a problem in terms that are aligned to the operations of a specific machine.,Other
MAC address ,Media Access Control address. An address given to a network interface controller. Used to uniquely identify devices on a local area network.,Other
Machine code ,Program instructions that require no further translation.,Other
Machine learning ,Algorithms that learn the relationship between inputs and outputs in order to make predictions.,Other
Magnetic storage ,A technique to store data using polarised magnetic dots. The polarity of the dot is used to represent a 1 or a 0.,Other
Main memory ,A unit with addressable memory locations that can be accessed directly by the processor. Stores data and instructions while they are being processed.,Computer Systems
Majority voting ,A method of error detection where each bit is sent multiple times and the majority value is used by the receiving device.,Other
Malware ,"Malicious software. A program designed to cause damage to computer systems, corrupt or change files, steal data, or cause disruption to services.",Other
Mantissa ,Part of a floating point number that contains the significant digits.,Other
Map function ,"A higher-order function where a given function is applied to every element in a given list, resulting in a new list.",Other
Mealy machine ,A type of finite state machine that produces outputs,Other
Mebibyte ,"One mebibyte is 1, comma, 048, comma, 576,1,048,576 bytes (2, to the power 20 ,220). The symbol for the mebibyte is MiB. See also megabyte.",Other
Megabyte ,"One megabyte is 1, comma, 000, comma, 000,1,000,000 bytes (10, to the power 6 ,106). The symbol for the megabyte is MB. See also mebibyte.",Other
Megapixel ,One million pixels. The quality of images taken by digital cameras are often measured in megapixels.,Other
Memory ,Storage within a computer system.,Computer Systems
Memory Address Register (MAR) ,The register that holds the address of a memory location that the processor will read data from or write data to.,Computer Systems
Memory Buffer Register (MBR) ,The register that holds the data that is being transferred to or from main memory. Also called the memory data register (MDR).,Computer Systems
Memory Data Register (MDR) ,The register that holds the data that is being transferred to or from main memory. Also called the memory buffer register (MBR).,Computer Systems
Memory leak ,A problem that occurs when a computer program does not manage memory correctly. It can result in a computer system running out of usable memory.,Computer Systems
Merge sort ,"A sorting algorithm that works by repeatedly splitting data into sublists and merging pairs of sublists, ordering the items as they are merged.",Other
Metadata ,Data that provides information about other data.,Other
Method ,"In OOP, a function or procedure that is defined as part of a class definition.",Other
MIDI ,"Musical Instrument Digital Interface. A technical standard that includes hardware specifications and a protocol to allow electronic musical instruments and computer systems to communicate, and produce and manipulate music.",Other
Midpoint ,"The index (position) of the item that is directly in the middle of a list, or to the left of the middle if the list contains an even number of items.",Other
Mnemonic ,A meaningful code (such as LOAD) that is used to represent an opcode in an assembly language program.,Other
Model ,A systematic representation of an aspect of the real world.,Other
Modem ,A device used to convert digital data into signals that can be transmitted across a telecommunication system such as such as telephone lines or radio.,Other
Modulo operation ,An operation that returns the remainder of a division. The modulo operator is often represented by the abbreviation MOD or a percent sign (%).,Other
Most significant bit (MSB) ,The leftmost bit in a binary number.,Other
Mutable ,Able to be changed.,Other
mailto ,"A URL scheme for email addresses. It is used to create a hyperlink that opens the user's default email client with a new email pre-populated with a recipient email address, e.g. mailto:someone@example.com.",Other
NAND ,A Boolean operation that outputs True if either or both of the input values are False. It is the logical inverse of AND.,Other
Natural numbers ,"The infinite set of positive integers, which includes zero.",Other
Nested iteration ,A block of code where a loop is contained within another loop. The statements inside the inner loop are executed in their entirety for every iteration of the outer loop.,Other
Network ,"A group of devices connected together, wirelessly or using cables, so that they can communicate with each other and share resources.",Other
Network access device ,"Hardware often supplied by an internet service provider that combines a wireless access point, an Ethernet switch, a modem, and a router.",Other
Network channel ,A band of frequencies that is allocated for devices on the same wireless network to communicate on.,Other
Network forensics ,The process of monitoring and analysing network traffic to detect and help identify intruders as well as systems and data that may have been accessed.,Other
Network Interface Controller (NIC) ,A component that allows a device to connect to a network.,Other
Network security ,A collection of measures and tools adopted to control network traffic and prevent unauthorised access or use of data.,Other
Newline character ,A control (non-printing) character that denotes the end of a line of text and the start of a new line. An escape sequence such as \n is often used in programming languages to signify a new line.,Other
Node ,A fundamental unit of data within a graph data structure. Also called vertex.,Other
Node (network) ,A device in a network that is either an endpoint (such as a computer) or a piece of communications equipment (such as a router) that is connected to one or more other nodes.,Other
Non-volatile memory ,Memory that retains data when the device is switched off or power is lost.,Computer Systems
NOR ,A Boolean operation that outputs True if both of the input values are False. It is the logical inverse of OR.,Other
Normalisation (databases) ,"The process of defining efficient tables in a database by ensuring that data is dependent on the key, the whole key and nothing but the key.",Other
Normalisation (floating point numbers) ,The process of optimising the representation of a floating point number so that each number has a unique representation.,Other
NOT ,A Boolean operation that outputs True if the input value is False and vice versa,Other
Object ,"In OOP, an instance of a class with specific data.",Other
Object code ,Program code that has been translated and needs to be linked to become executable.,Other
Object-oriented programming (OOP) paradigm ,An approach to software development that focuses on the concept of using objects that interact to make up a system.,Fundamentals of Programming
One-time pad ,"An encryption key that is used just once to encrypt and decrypt a message, and is then completely destroyed.",Other
Opcode ,Part of a machine code instruction that defines the fundamental machine operation to be used.,Other
Open source software ,Software for which the program source code is made available to the general public.,Other
Operand ,Part of a machine code instruction that defines the data or location of the data to be used.,Other
Operating System ,"System software that manages hardware, software, and resources, and provides services for other software. It will also usually provide an interface for the end user.",Other
Optical storage ,"A storage technique that uses discs. Data is stored as marks on the reflective surface of the disc. Examples include CD, DVD, and Blu-Ray.",Other
OR ,A Boolean operation that outputs True if either or both input values are True,Other
Output ,Information produced by a computer system as a result of processing data.,Other
Output device ,"A peripheral device such as a printer, display unit or speaker that translates signals from the computer into a human-readable form.",Other
Overflow error ,Occurs when the result of a calculation is a number that is too large to be represented in the number of bits available.,Other
Overriding ,"In OOP, allowing an inherited method to be replaced by a more appropriate version (using the same identifier) in the child class.",Other
Packet ,The name of the data structure at the internet layer. It is used to move the transport layer data from the source to the destination across a network.,Other
Packet header ,The initial fields at the start of a packet that specify a series of parameters used to ensure the correct routing and processing of the packet.,Other
Packet switching ,A method of transmitting data across the internet using small packets of data that can take any route and are reassembled by the receiving computer.,Other
Parallel communication ,A method of communication where many bits are sent at the same time on a set of wires or tracks on a printed circuit.,Other
Parameter ,"Part of the definition of a subroutine that specifies the data value(s) or reference(s) to be passed to the subroutine when it is called. When calling a subroutine, the values of the parameters are passed into the subroutine as arguments.",Other
Parity bit ,A bit that is calculated from a set of data bits and used for error detection.,Other
Partial function ,"A function that has been called with only some of the required arguments, allowing it to be reused or used as a building block for other functions.",Other
Pass ,A complete traversal of a list.,Other
Passing by reference ,"In many programming languages, parameters of subroutines can be specified either by value or by reference. When passing by reference is used, the memory address of an argument is passed into the subroutine. This means that the subroutine can change the actual value of the argument.",Other
Passing by value ,"In many programming languages, parameters of subroutines can be specified either by value or by reference. When passing by value is used, a copy of the argument's value is passed into the subroutine. This means that the subroutine can't change the original value of the argument.",Other
Patch ,"An update to software to fix an issue, such as a security vulnerability or bug.",Other
Pattern recognition ,"A problem solving technique that recognises patterns or similarities in data, or identifying parts of the problem that have known algorithmic solutions.",Other
Peek ,"The process of looking at, but not removing, the item at the top of a stack.",Other
Peer-to-peer networking ,A network architecture where all devices have equal status and can share resources directly with each other.,Other
Penetration testing ,A method of testing used to discover weaknesses or vulnerabilities in a system that could be exploited by hackers.,Software Development
Performance modelling ,The process of evaluating if a system or a program performs as expected (or not) before being released.,Other
Peripheral ,"Additional hardware devices that are external to the core components of a computer system. These devices can be used for input, output, or data storage.",Other
Personal area network (PAN) ,A network of personal devices that allows data to be exchanged within their immediate vicinity.,Other
Pharming ,"Deceiving users by sending them to a fake website that the user believes is the real one, with the intention of tricking them into submitting personal information.",Other
Phishing ,"An attack in which the victim receives a message disguised to look like it has come from a reputable source (for example, a bank), in order to trick them into giving up personal information.",Other
Pipelining ,"A way of organising subtasks so that they can be processed concurrently, in such a way that one subtask feeds into the next one.",Other
Pixel ,The smallest addressable part of a bitmap image that corresponds to a single colour.,Other
Place value ,"The value of a digit that appears within a number. For example, the place value of 1 in the base-10 number 1,098 is 1 thousand.",Other
Plaintext ,"In encrypted communication systems, the plaintext is the original unencrypted message.",Other
Pointer ,"A reference to a location in memory, usually in the form of a memory address.",Other
Polyalphabetic cipher ,An encryption method in which different alphabetic substitutions are used for the same letter.,Other
Polymorphism ,"In OOP, the concept that different classes can be accessed through the same interface. Each class can provide its own implementation of the interface so can exhibit different behaviour.",Other
Pop ,The process of removing an item from the top of a stack.,Other
POP3 ,Post Office Protocol v3. An application layer protocol for requesting and receiving emails from an email server,Other
Port ,A number that identifies a specific network process running on a device.,Other
Port forwarding ,A process through which a router uses port numbers to determine the destination of packets on a network.,Other
Post-order traversal ,A method of traversing a tree so that a node is processed after both its left and right subtrees have been examined.,Other
Postfix ,A notation where expressions are written with the operators after the operands.,Other
Pre-order traversal ,A method of traversing a tree so that a node is processed before either its left or right subtrees are examined.,Other
Precision ,A measure of how accurate a number is when stored  using a finite amount of significant digits.,Other
Predicted result ,The output that a program should produce for a given input.,Other
Predictive analytics ,Information from large data sets that is used to predict the likelihood of an action or event happening in the future.,Other
Prefix ,A notation where expressions are written with the operators before the operands.,Other
Prepend operator () ,Used to add a new single item to the front of a list.,Other
Primary key ,A field that uniquely identifies a record in a database table.,Databases and SQL
Printed circuit board (PCB) ,A board that makes connections between electronic components. It uses conductive tracks to allow the transfer of data between components.,Other
Priority queue ,A queue in which each item has a priority associated with it that affects the position in which the item is added to the queue.,Data Structures
Private key ,An encryption key that is kept secret and is used in conjunction with a corresponding public key for public/private key cryptography,Other
Problem reduction (abstraction) ,The process of removing unnecessary detail so that the problem can be reduced to one that has already been solved.,Fundamentals of Programming
Procedure ,"A named section of code that can be called (executed) to perform a specific task by using the identifier (name of the procedure) in a program statement. In computer science theory, a procedure does not return a value.",Other
Process ,"A program, or part of a program, that is running on a computer system and using resources.",Other
Processor ,The part of a computer system that carries out the fetch-decode-execute cycle.,Other
Processor clock ,An electronic unit connected to the processor that synchronises when the fetch-decode-execute cycle runs.,Other
Processor performance benchmark ,A set of baseline measurements that are used to compare processor performance,Other
Program code ,Code written in a specific programming language.,Other
Program Counter (PC) ,A register that stores the address of the next instruction to be fetched and executed.,Other
Program crash ,Unexpected and abrupt program termination.,Other
Program translation ,The process of converting code written by a programmer into a form that can be executed by a processor.,Other
Programming paradigm ,An overall approach (guidelines and principles) to the way in which program code is written.,Other
Proper subset ,"A set that is made up of some, but not all, values from another set.",Other
Property (CSS) ,"An attribute of an HTML element that can be styled, e.g. the background colour or the font colour.",Other
Proprietary software ,"Software with a licence that places restrictions on the user regarding their right to run, study, distribute, or modify the code.",Other
Protocol ,A set of rules that enable two processes to communicate.,Other
Pseudocode ,"A syntax for expressing an algorithm, independent of a specific programming language.",Other
Public key ,An encryption key that is made widely available and is used in conjunction with a corresponding private key for public/private key cryptography.,Other
Public key encryption ,"An asymmetric encryption method that uses a pair of keys, one public and one private.",Networks and Security
Push ,The process of adding an item to the top of a stack.,Other
QR code ,Quick Response code. A means of representing data in machine-readable form. QR codes traditionally appear as a matrix of black and white squares.,Other
Queue ,"An abstract data type that defines a list of items one after another with a front and a rear. A queue is a FIFO (first in, first out) structure.",Data Structures
Quick sort ,An algorithm that sorts a list by repeatedly selecting a pivot value around which the list is systematically rearranged until the whole list is sorted.,Other
RAM ,Random-Access Memory. Memory in which the locations can be accessed directly in any order,Other
Ransomware ,"A form of malware that prevents a user from accessing their files by encrypting them, and demands the victim pay a ransom in order to release them.",Other
Rational numbers ,The infinite set of all numbers that can be expressed as fractions (or ratios).,Other
Read mode ,A file handling mode that allows a program to read data from a file.,Other
Real number ,Any positive or negative number with or without a fractional part.,Other
Rear ,A pointer to the end of a queue.,Other
Record ,A data structure that can be used to store multiple pieces of data that relate to the same thing. Each piece of data can have a different data type.,Other
Recursive problem ,A problem that is defined in terms of itself.,Other
Recursive subroutine ,A subroutine that calls itself.,Other
Reduce/fold function ,A function that reduces a list to a single value by repeatedly applying a folding function.,Other
Referential integrity ,"Requires that if a value of one attribute references a value of another attribute, then the referenced value must exist.",Other
Register ,Storage location within the processor.,Other
Regular expression ,Formal notation that defines a valid string for a regular language.,Other
Rehashing ,The process of applying a hashing algorithm again when a collision has occurred.,Other
Relational database management system (RDBMS) ,Software used to organise data into tables and define relationships between data attributes in different tables.,Databases and SQL
Relational operator ,Operator such as > (greater than) or = (equals) that performs comparisons on pieces of data.,Other
Removable media ,"Any external storage devices that can be easily removed from a computer, for example USB flash drives or SD cards.",Other
REST ,Representational State Transfer. An architecture style for developing web services.,Other
RFID ,Radio Frequency Identification. A system that uses electromagnetic fields to read data from tags attached to objects.,Other
RLE ,Run Length Encoding. A lossless compression method where repeated runs of binary data are represented by a single instance of the data and the number of repetitions.,Other
Rogue value ,A specific value used to terminate a loop or recursive algorithm. Also known as a sentinel value.,Other
ROM ,"Read Only Memory. Memory that can be read from, but not written to.",Other
Rounding ,The process of reducing the number of digits in a number by examining the digits that follow that will be discarded.,Other
Router ,"A networking device with two or more interfaces, each in a different network. It examines the destination IP address of incoming packets to decide which interface to use to forward the packet.",Other
RPN ,Reverse Polish Notation. A type of postfix notation where expressions are written with the operators after the operands.,Other
RTS/CTS ,Request to Send/Clear to Send. A pair of signals that can be used to manage the process of sending data over a wireless network.,Other
Runtime error ,An error that occurs during the execution of a program.,Other
Sample ,"A single measurement of the amplitude of an analogue signal, typically sound.",Other
Sample resolution ,The number of bits used to encode each sample. Determines how accurately the sample can be represented. Also called bit depth.,Other
Sampling ,"A method of capturing analogue data so that it can be converted to digital form, for example, by measuring sound at fixed intervals.",Other
Sampling interval ,The amount of time (measured in seconds) between two consecutive samples.,Other
Sampling rate ,The number of samples captured per second. Expressed in hertz (where 1Hz is one sample per second).,Other
Scalar ,A single element of a number set.,Other
Scheduling algorithm ,An algorithm that determines the order in which an operating system will execute queued processes.,Fundamentals of Programming
Schema ,A description of the structure of a file in formal language.,Other
Scope ,Defines the area of a program where an entity - typically a variable - is valid and can be used. A variable with global scope can be used anywhere in the program.,Other
Secondary storage ,Types of non-volatile memory that are used to permanently store data such as the operating system and user files.,Other
Selection ,"A program control structure with a logical test, or sequence of tests, that evaluate(s) to True or False. It allows subsequent statements to be run selectively depending on the outcome of the test(s).",Other
Selector (CSS) ,"The target of a style rule. This can be an HTML element, an id, or a class.",Other
Self-documenting code ,"Program code that uses meaningful identifiers for the names of subroutines, variables, and other references so that fewer comments are needed.",Other
Sequence ,"A set of instructions that will be carried out, one after another, in the stated order.",Other
Serial transmission ,A method of data transmission where bits are sent one at a time over a single wire.,Other
Serialisation ,A method of handling concurrent updates to a database.,Other
Server ,"A computer on a network that provides a service. Examples include file server, print server, and web server.",Other
Set ,An unordered collection of unique elements of the same data type.,Other
Shortest path ,The  sequence of edges between two nodes of a graph with the lowest total weight.,Other
Shouldering ,A type of social engineering attack designed to steal a victim's password or other sensitive information by using close visual observation.,Other
Sign and magnitude ,A method of representing signed (i.e. negative and positive) numbers where the most significant bit is used as a sign bit and has no place value.,Other
SMTP ,Simple Mail Transfer Protocol. An application layer protocol that handles the sending of emails.,Other
Social engineering ,Techniques used to trick users into giving away personal information by psychological manipulation.,Other
Social media ,"Technologies that allow people to create and share information, and interact using virtual communities and networks.",Other
Socket ,An addressable location that provides an endpoint for communication between two internet hosts. Sockets are addressed via their port number.,Other
Software ,"A generic term used to refer to applications, scripts, programs and systems that run on a device and execute specific tasks.",Other
Software development ,The process of developing a computer system.,Other
Software licence ,A legal document that outlines any restrictions on the use and/or distribution of a piece of software.,Other
Source code ,Program code that has not been compiled.,Other
Space complexity ,The amount of memory needed to run an algorithm relative to the size of its input.,Other
Spyware ,A form of malware that captures data from a computing device and transmits it without the user's knowledge.,Other
SQL ,Structured Query Language. A declarative language designed for managing data held in a relational database management system,Databases and SQL
SQL statement ,A statement that is run against a database to select or manipulate data.,Databases and SQL
SSD ,Solid-state drive. A storage device composed of flash memory that is non-volatile. Binary data is stored in electrical circuits and can be accessed at random.,Other
SSH ,Secure Shell. A protocol that allows for data to be encrypted.,Other
Stack ,"An abstract data type that defines a linear structure where the last item to be added is the first item to be removed (called last in, first out or LIFO).",Data Structures
Stack frame ,An entry of the call stack for a specific instance of an active subroutine. The frame will contain the values of parameters and local variables and the address to be returned to when the instance is removed from the stack.,Data Structures
Stage-by-stage approach ,An approach to systems development where each stage is completed before the next stage is started.,Other
Standard ,A set of specifications for hardware or software that are agreed by the technology community.,Other
Star topology ,"The arrangement (usually physical) of a network where devices are connected through a central point, e.g. a switch.",Other
Start bit ,A bit that is sent to signify the start of transmission when using asynchronous communication.,Other
State transition diagram ,An image that represents the logic of a finite state machine.,Other
State transition table ,A table that represents the logic of a finite state machine.,Other
Statement ,An instruction in a computer program.,Other
Static data structure ,A collection of data whose size cannot change during program runtime.,Other
Static filtering ,"A method used by a firewall, that checks traffic against a list of rules to determine whether the traffic should be allowed to pass through.",Other
Status Register (SR) ,A register that keeps track of the state of the processor. The different bits are used as status flags.,Other
Stop bit ,A bit that is sent to signify the end of transmission when using asynchronous communication.,Other
Stored program concept ,"The fundamental idea that program instructions are stored in main memory from where they are fetched, decoded and executed by the processor.",Other
String ,"A sequence of characters, e.g. letters, numbers, spaces, and other symbols.",Other
String length ,The number of characters in a string.,Other
Strong password ,A password that is hard to crack because it would take a hacker too many attempts to use brute force to guess it correctly within a useful timeframe.,Other
Structured English ,A method of writing algorithms using simple English words for commands and mathematical operations.,Other
Style (CSS) ,Used to describe how a particular HTML element or collection of HTML elements on a webpage should look.,Other
Stylus ,"A pen designed specifically to interact with touchscreens, such as a smartphone or graphic tablet.",Other
Subnet mask ,A bitmask that allows the network ID to be revealed from an IP address for routing purposes.,Other
Subroutine ,A named section of code that can be called to perform a specific task by using the subroutine identifier in a program statement. A subroutine can be either a procedure or a function.,Other
Subroutine interface ,Defines how data must be passed into and out of a subroutine in terms of parameters and return values.,Other
Subset ,A set that is made up of some or all values from another set.,Other
Substitution cipher ,"A cipher where one character, or set of characters, is substituted by another character (or set of characters) according to a fixed system of substitution.",Other
Substring ,A part of a string.,Other
Switch ,A network component that is used to connect devices on a local area network. It learns which device is connected to each of its ports so that it can switch traffic directly to the correct recipient.,Other
Symmetric encryption ,A method of encryption where the same key is used to encrypt and decrypt a message.,Networks and Security
Synchronous communication ,A method of communication where data is transmitted over a channel at a constant rate controlled by a shared clock signal.,Other
Syntax ,The precise way that program statements must be written to be understood by the computer. It is specific to the programming language that you use.,Other
Syntax diagram ,A method of checking whether a string conforms to the grammar of a context-free language such as BNF.,Other
Syntax error ,"An error that occurs when the rules of the programming language are not adhered to; for instance, a missing bracket.",Other
System clock ,"An oscillator that produces a continuous stream of alternating signals, interpreted as 1,1s and 0,0s. The clock signal is carried to every component of the computer system to synchronise operations.",Other
System objectives ,A list of objectives that a new or replacement computer system must satisfy.,Other
System requirements ,The specification of precisely what needs to be achieved by a new or replacement computer system.,Other
System software ,Software that interfaces with the hardware of the computer system and performs tasks that are machine-oriented.,Other
Tail function ,A function that returns a list of items without its head.,Other
TCP/IP stack ,A conceptual four-layer model and set of protocols for internet communications.,Data Structures
Terminator ,"A device at the end of a network cable, that absorbs data signals, to prevent them reflecting back.",Other
Test data ,"Data that has been carefully selected for testing. It should include normal, boundary, and invalid values as appropriate.",Other
Testing ,"The systematic process of checking that a subroutine, program, or system works as expected.",Software Development
Text editor ,A piece of software designed to display text files and allow users to edit them. Examples include Notepad and TextEdit.,Other
Text file ,"A file containing character data, with no special formatting. Examples of text file type extensions include '.txt' and '.csv'. Text files can be read and made sense of by humans as well as by computer systems.",Other
Time complexity ,The amount of time needed to run an algorithm relative to the size of its input.,Other
Time slice ,A slot of time allocated to a computer process so that multiple processes can appear to be running at the same time.,Other
Tokenisation ,The process of assigning token names to code elements as part of the process of compiling a program.,Other
Top ,A pointer to the top of a stack.,Other
Topology ,The physical or logical arrangement of connections and devices in a network.,Other
Trace table ,A table with a column for each variable that allows its values to be recorded during a dry run of the code (or pseudocode).,Other
Tracing ,"Following the flow of execution of a program, tracking the values of variables as they change, as well as the outputs.",Other
Tractable problem ,A problem that can be solved by a computer system in a reasonable amount of time.,Other
Transition function ,"A set of rules for a Turing machine that use the current state and input symbol to determine the output symbol, next state, and movement of the head.",Other
Translator ,A piece of system software that converts code written by a programmer into a form that can be executed by a computer system.,Other
Transmission media ,The physical connection between devices on a network. It can be broadly categorised into either wired media (e.g. fibre-optic cables) or wireless.,Other
Traversal ,An algorithm that visits the items in a data structure one at a time.,Other
Tree ,A graph that is fully connected with no cycles.,Data Structures
Tree traversal ,The systematic process of visiting (checking/updating) each node in a tree exactly once.,Data Structures
Trojan ,A piece of malware that is hidden inside another file in a computer system.,Other
Truncation ,The operation of cutting off characters or digits at the start or the end of a number or a (text) string.,Other
Truth table ,A table showing the outputs for all possible combinations of inputs to a logic gate or a circuit made up of logic gates.,Other
Turing machine ,"A model of computation that defines computability. Its components are a read/write head, an infinite tape, and a set of transition functions.",Theory of Computation
Two's complement ,A method of representing signed (i.e. negative and positive) numbers where the most significant bit has a negative place value.,Other
UDP ,User Datagram Protocol. A transport layer protocol that prioritises the speed of data transmission over reliability.,Other
Underflow error ,Occurs when the result of a calculation is a number that is too small to be represented in a given number of bits.,Other
Unicode ,"An encoding format that allocates a numeric code to characters in order for them to be represented in binary within a computer system. Unicode covers the characters for most known alphabets and special symbols (e.g. mathematical operators, geometric shapes, arrows, emojis, etc.).",Other
Union ,A set operation between two or more sets that results in a new set that contains all the distinct elements from the original sets.,Other
Universal Turing machine ,A model of a computing machine that can simulate any Turing machine by reading a description of the machine from its own tape,Theory of Computation
URL ,Uniform Resource Locator. The address of a resource on the internet. It indicates the location of a resource as well as the protocol used to access it.,Other
User ,The person interacting with a computer system through its user interface.,Other
Utility software ,A subcategory of system software that improves the security or performance of a computer system. Examples include antivirus software and registry cleaners.,Other
UTP cable ,Unshielded Twisted Pair cable. A type of cable where two conductors are twisted together to reduce interference. Also known as Ethernet cable.,Other
Validation ,Checking that data is acceptable by comparing it against a set of criteria.,Other
Variable ,An identifier associated with an area of computer memory in which data is stored. The data can change during program execution.,Other
Vector ,An abstract data type that defines a collection of entries drawn from the same field.,Other
Vector graphic ,An image that is stored as a set of instructions to recreate it. Uses a drawing list made up of a set of objects and their properties.,Data Structures
Venn diagram ,"An illustration that uses circles to show the relationships between different groups of elements. Where the circles overlap, it shows that there are elements in common.",Other
Vernam cipher ,An encryption method where each character is combined with a corresponding key character using a logical bitwise XOR operation.,Other
Vertex ,A fundamental unit of data within a graph data structure. Also called node.,Other
Virtual network ,A network whose logical structure is independent of its physical structure. A VLAN is a virtual local area network.,Other
Virtual Storage ,"A method of using a shared storage device, sometimes connected to the internet, that a user can access as if it were local storage.",Other
Virus ,Malware in the form of a program that attaches itself to another file and can replicate itself when the file is executed.,Other
Visited list ,The set of nodes of a graph that have been fully explored,Other
Visualisation ,A variety of techniques used to illustrate a problem and/or its solution to make it easier to understand.,Other
Volatile memory ,Memory that only retains data when there is power to the device.,Computer Systems
Von Neumann architecture ,A computer architecture that provides a single shared memory for data and instructions.,Other
VPN ,"Virtual private network. Extends a private network across a public network (such as the internet), allowing secure access to systems and data.",Other
Vulnerability ,"A weakness in a computer system that leaves it open to attack, such as an insecure wireless network or unpatched software.",Other
Waterfall lifecycle ,A linear approach to software development where each stage is completed before the next stage begins.,Other
Websocket protocol ,A set of rules that allows two computers to share a dedicated channel for the exchange of web page content.,Other
Weight ,A value associated with an edge in a graph.,Other
Weighted graph ,A graph where values are assigned to the edges.,Data Structures
White box testing ,A method of testing where all possible routes through a program are identified and tested.,Software Development
Wi-Fi ,The tradename for a family of wireless network protocols that allow devices to communicate over a local network using radio waves.,Other
Wide area network (WAN) ,"Two or more distinct networks connected together, usually covering a large geographical area.",Other
Wireless Access Point (WAP) ,A network device that manages wireless connections to a local area network.,Other
WLAN ,Wireless local area network. Uses wireless communication protocols to connect devices on a local area network.,Other
World Wide Web (WWW) ,"A collection of hyperlinked content accessible on the internet, usually web pages.",Other
Worm ,Malware that is able to replicate itself and does not need to use another file as a vector.,Other
WPA/2/3 ,Wi-Fi Protected Access v2/3. A protocol for encrypting data on a wireless network.,Other
Write mode ,"A file handling mode that allows a program to write data to a file. If the file does not exist, a new file is created, while if the file already exists, the content is overwritten.",Other
XML ,Extensible Markup Language. An open file format that uses human-readable text for data transmission.,Other
XOR ,"A Boolean operation that outputs True if either, but not both, of the input values are True",Other
Isaac Computer Science is part of theNational Centre for Computing Education.,"All teaching materials on this site are available under the Open Government Licence v3.0, except where otherwise stated.",Other
